Designator,Mid X,Mid Y,Rotation,Layer
BT1,144.07,-120.6,0.0,bottom
D1,170.516124,-154.54,0.0,top
D2,164.246124,-154.54,0.0,top
D3,157.996124,-154.54,0.0,top
D4,151.746124,-154.54,0.0,top
J1,126.241124,-154.4,0.0,top
R1,141.96,-145.5,0.0,top
R2,173.396124,-145.55,270.0,top
R3,171.266124,-145.55,270.0,top
R4,169.136124,-145.55,270.0,top
R5,167.016124,-145.59,270.0,top
SW1,166.29,-132.25,180.0,top
SW2,147.24,-132.25,180.0,top
SW3,128.19,-132.28,180.0,top
SW4,172.696124,-118.99,90.0,bottom
U1,137.7975,-146.771,180.0,bottom
